"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_004M"
"310M100US17340","Clearlake, CA Micro Area","26228","1561","84.4","3.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","80.8","3.2","1.7","1.3","26.2","3.1","44.9","3.2","27.2","3.0","15708","1775","N","N","N","N","N","N","N","N","N","N","10520","1427","49.1","8.7","39.1","7.8","10.0","5.9","50.9","8.7","37.7","7.7","13.2","7.0","32.9","(X)","33.2","(X)","30.5","(X)","33219","6837","36218","5470","41947","34591","16056","55808","32974","-","**","25803","3289","30898","13899","26210","3008","36269","5612","35316","37756","29390","14936","31303","7727","40432","12683","45590","7344","38815","8672","50702","8871","58150","7997","27319","11611","28750","31672","14418","4906","14243","4616","11875","1224","25856","42358","14594","13085","14979","13371","12320","23522","(X)","(X)","(X)","(X)","(X)","(X)","4170"
"310M100US17420","Cleveland, TN Metro Area","46079","1219","94.0","1.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","91.9","1.5","5.0","1.4","29.4","2.0","40.5","2.3","25.1","1.7","31822","1703","40.4","3.3","59.6","3.3","72.3","4.1","19.2","3.5","8.5","2.4","14257","1679","47.3","5.4","40.7","5.6","6.7","2.8","52.7","5.4","44.7","5.3","8.0","4.4","33.8","(X)","35.8","(X)","27.6","(X)","38343","2926","37803","3157","43035","5032","N","-","**","-","**","N","N","24050","16581","38508","20201","37709","3423","23210","4752","41527","3685","43573","6566","29926","6415","44808","4854","39621","6145","48361","4581","55857","8126","24658","4936","37992","11258","20912","2883","19251","3757","18932","3762","24681","21297","21927","4303","20316","2728","39736","17748","(X)","(X)","(X)","(X)","(X)","(X)","N"
"310M100US17460","Cleveland-Elyria-Mentor, OH Metro Area","839838","5029","76.6","0.4","19.6","0.4","0.2","0.1","1.8","0.1","N","N","0.8","0.1","1.0","0.1","3.6","0.2","74.2","0.4","2.7","0.2","29.8","0.4","42.1","0.4","25.4","0.3","514092","7024","42.1","0.7","57.9","0.7","70.3","0.9","22.6","0.8","7.0","0.5","325746","6230","57.2","1.0","51.0","1.1","6.2","0.6","42.8","1.0","36.5","1.0","6.3","0.6","29.1","(X)","30.2","(X)","26.4","(X)","46944","665","53992","1019","24740","1222","33312","67088","12236","N","N","27911","5168","32472","8182","30559","2434","55084","1029","22932","2587","52403","1723","57620","1815","32449","914","62842","1263","60399","1624","65057","1602","78696","1510","28368","1585","40708","2732","27416","857","24822","938","22515","918","50387","2931","31508","930","29161","1802","61077","7896","(X)","(X)","(X)","(X)","(X)","(X)","10075"
"310M100US17620","Coamo, PR Micro Area","24688","1291","60.6","5.1","N","N","N","N","N","N","N","N","32.9","4.7","N","N","99.0","1.1","N","N","N","N","N","N","N","N","N","N","18117","1535","N","N","N","N","N","N","N","N","N","N","6571","1144","53.1","8.1","41.5","7.5","11.6","6.9","46.9","8.1","37.8","7.7","9.1","5.9","15.8","(X)","16.5","(X)","11.6","(X)","17970","1843","20409","2263","12085","4818","-","-","**","-","**","14622","2907","17530","15111","18141","1773","N","N","2,500-","***","23817","8017","18316","4149","14270","2784","19647","2297","19208","3607","20146","3277","28040","3612","14639","7150","9163","3015","10916","2157","11833","2114","11417","1521","22023","17372","8196","5465","6877","3215","18726","21373","(X)","(X)","(X)","(X)","(X)","(X)","**"
"310M100US17660","Coeur d'Alene, ID Metro Area","55848","1822","95.6","0.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","94.0","1.2","7.4","1.8","30.3","2.4","38.0","2.3","24.3","1.4","38380","2140","N","N","N","N","N","N","N","N","N","N","17468","1921","52.4","6.3","42.0","6.1","10.4","3.7","47.6","6.3","34.7","6.4","12.9","4.6","22.6","(X)","20.3","(X)","25.9","(X)","46870","3512","47197","3808","-","**","33072","N","N","-","**","29871","22949","63983","30694","42863","9553","47239","3757","28746","9274","52480","7021","57620","9538","41040","6067","55613","4518","51864","6521","59132","4035","61975","3167","26528","13158","33027","13083","28972","4530","22114","4549","17454","8802","35795","8573","34216","7523","31446","5104","49333","15521","(X)","(X)","(X)","(X)","(X)","(X)","19675"
"310M100US17780","College Station-Bryan, TX Metro Area","82134","2613","77.7","2.0","10.2","1.1","N","N","5.2","0.8","N","N","4.9","1.2","N","N","18.9","1.7","64.7","2.1","22.0","2.1","33.3","1.4","28.1","1.6","16.5","1.3","47664","2356","45.1","2.8","54.9","2.8","73.3","3.1","18.9","2.6","7.8","1.8","34470","1974","51.5","3.9","30.7","4.0","20.8","3.4","48.5","3.9","32.9","4.0","15.7","3.3","34.8","(X)","34.1","(X)","35.1","(X)","40346","2882","45229","3865","35532","7962","N","30500","12407","2,500-","***","36802","18037","16426","7982","30307","6621","48396","3706","15802","3336","46502","4795","59371","5099","39528","5699","58895","3957","57820","7152","60670","6238","75344","4945","30787","4637","35370","17578","19472","3524","18488","3396","16439","2413","24132","7355","20671","5810","13793","4761","31843","4754","(X)","(X)","(X)","(X)","(X)","(X)","N"
"310M100US17820","Colorado Springs, CO Metro Area","247950","2710","85.5","0.9","5.6","0.6","N","N","2.2","0.3","N","N","2.8","0.6","3.0","0.5","11.6","0.7","77.7","0.9","4.6","0.6","36.9","0.9","40.5","0.8","18.1","0.7","168631","3667","47.9","1.7","52.1","1.7","76.9","1.7","17.0","1.5","6.1","0.9","79319","3733","52.0","2.3","45.9","2.3","6.2","1.4","48.0","2.3","38.6","2.8","9.4","1.7","24.5","(X)","24.2","(X)","22.9","(X)","55320","1791","57380","2569","44013","2916","51636","62532","17158","53645","8989","27621","7799","46331","6217","40556","4015","59355","2949","31233","4283","54869","2518","70325","4192","42414","3743","69370","3716","64562","4667","74196","4262","80604","2559","36309","3595","49059","4196","32140","2052","29567","2634","28118","2726","52316","20132","37443","4360","31838","3917","56875","16323","(X)","(X)","(X)","(X)","(X)","(X)","20127"
"310M100US17860","Columbia, MO Metro Area","69963","1450","86.5","1.7","5.7","1.3","N","N","N","N","N","N","N","N","N","N","N","N","84.6","1.8","14.3","1.8","36.3","1.8","34.5","1.8","14.9","1.0","38539","2166","44.8","3.6","55.2","3.6","78.8","3.2","14.7","2.7","6.5","2.5","31424","2165","54.7","4.3","41.1","4.6","13.7","3.0","45.3","4.3","31.0","4.3","14.3","4.1","24.3","(X)","21.2","(X)","26.8","(X)","43172","3906","48976","4321","22945","12176","N","33739","3973","-","**","48000","26213","29980","25171","29215","23746","50283","4159","14512","2402","51398","5460","59623","8175","42737","6742","68983","4637","60503","8447","71730","3820","77847","4227","33649","5221","23096","7068","26085","2683","21610","3955","25355","3999","14381","1923","35403","5767","34352","7455","38046","23562","(X)","(X)","(X)","(X)","(X)","(X)","N"
"310M100US17900","Columbia, SC Metro Area","294039","3400","63.8","0.8","31.5","0.9","N","N","1.4","0.2","N","N","1.6","0.4","1.4","0.4","3.9","0.5","61.9","0.8","5.0","0.6","35.6","1.0","39.1","0.8","20.3","0.6","192199","4667","43.0","1.5","57.0","1.5","69.4","1.5","23.7","1.3","6.9","1.0","101840","5135","54.3","2.1","46.5","1.9","7.8","1.1","45.7","2.1","36.6","2.1","9.2","1.4","35.2","(X)","35.7","(X)","33.9","(X)","48763","1672","56574","1709","35406","2298","37011","61923","13168","-","**","53295","13157","40869","8835","47365","8430","56794","1654","24684","2814","48301","2731","60194","3057","37385","2361","61489","1621","58159","4213","62871","2284","76174","2468","28700","2750","45485","8547","30106","1543","25818","1783","23451","1967","46576","5539","35924","2288","31701","2044","44564","8566","(X)","(X)","(X)","(X)","(X)","(X)","13387"
"310M100US17940","Columbia, TN Micro Area","31960","1127","84.5","2.1","13.1","1.5","N","N","N","N","N","N","N","N","N","N","N","N","81.3","2.0","2.9","1.8","34.5","2.9","40.9","3.1","21.7","2.0","21289","1634","N","N","N","N","N","N","N","N","N","N","10671","1538","56.2","6.1","49.9","6.4","6.3","4.3","43.8","6.1","37.1","6.3","6.7","4.0","23.4","(X)","24.2","(X)","18.5","(X)","41953","2702","45348","4276","22363","6969","-","20846","12258","-","**","N","N","13838","1343","N","N","45494","3955","14864","13056","42098","5650","47845","10736","39138","7190","50959","8318","46558","9374","55446","9680","63662","4677","15220","13261","31727","7560","22856","4411","19854","4102","18730","4232","21418","34664","32182","6983","31132","6934","52466","39032","(X)","(X)","(X)","(X)","(X)","(X)","**"
