Date,0,ZHVI_std
1996-04-30,,-1.6058107698076995
1996-05-31,,-1.5793014197843087
1996-06-30,,-1.5414309197508935
1996-07-31,,-1.5035604197174783
1996-08-31,,-1.4732640196907463
1996-09-30,,-1.4543287696740386
1996-10-31,,-1.442967619664014
1996-11-30,,-1.4202453196439648
1996-12-31,,-1.3937359696205742
1997-01-31,,-1.3634395695938422
1997-02-28,,-1.3520784195838176
1997-03-31,,-1.3445043195771345
1997-04-30,,-1.3369302195704513
1997-05-31,,-1.3142079195504024
1997-06-30,,-1.28391151952367
1997-07-31,,-1.2649762695069626
1997-08-31,,-1.2384669194835718
1997-09-30,,-1.2119575694601812
1997-10-31,,-1.1930223194434737
1997-11-30,,-1.1854482194367906
1997-12-31,,-1.1665129694200829
1998-01-31,,-1.1400036193966923
1998-02-28,,-1.1097072193699602
1998-03-31,,-1.0983460693599356
1998-04-30,,-1.0907719693532525
1998-05-31,,-1.0831978693465694
1998-06-30,,-1.086984919349911
1998-07-31,,-1.0831978693465694
1998-08-31,,-1.071836719336545
1998-09-30,,-1.079410819343228
1998-10-31,,-1.0831978693465694
1998-11-30,,-1.0831978693465694
1998-12-31,,-1.0907719693532525
1999-01-31,,-1.094559019356594
1999-02-28,,-1.0831978693465694
1999-03-31,,-1.079410819343228
1999-04-30,,-1.086984919349911
1999-05-31,,-1.102133119363277
1999-06-30,,-1.117281319376643
1999-07-31,,-1.1248554193833262
1999-08-31,,-1.1248554193833262
1999-09-30,,-1.1210683693799848
1999-10-31,,-1.1134942693733016
1999-11-30,,-1.102133119363277
1999-12-31,,-1.0907719693532525
2000-01-31,,-1.0680496693332033
2000-02-29,,-1.0529014693198373
2000-03-31,,-1.0377532693064713
2000-04-30,,-1.0263921192964467
2000-05-31,,-1.007456869279739
2000-06-30,,-0.9960957192697145
2000-07-31,,-0.9960957192697145
2000-08-31,,-0.992308669266373
2000-09-30,,-0.9960957192697145
2000-10-31,,-1.0112439192830807
2000-11-30,,-1.0301791692997881
2000-12-31,,-1.0377532693064713
2001-01-31,,-1.0339662193031296
2001-02-28,,-1.0301791692997881
2001-03-31,,-1.0263921192964467
2001-04-30,,-1.0263921192964467
2001-05-31,,-1.0263921192964467
2001-06-30,,-1.0263921192964467
2001-07-31,,-1.022605069293105
2001-08-31,,-1.022605069293105
2001-09-30,,-1.0150309692864221
2001-10-31,,-1.0036698192763975
2001-11-30,,-0.9960957192697145
2001-12-31,,-0.992308669266373
2002-01-31,,-0.9771604692530068
2002-02-28,,-0.9544381692329578
2002-03-31,,-0.9355029192162502
2002-04-30,,-0.927928819209567
2002-05-31,,-0.920354719202884
2002-06-30,,-0.9089935691928595
2002-07-31,,-0.905206519189518
2002-08-31,,-0.9014194691861764
2002-09-30,,-0.8900583191761519
2002-10-31,,-0.8824842191694688
2002-11-30,,-0.8749101191627858
2002-12-31,,-0.8673360191561027
2003-01-31,,-0.8559748691460781
2003-02-28,,-0.8484007691393951
2003-03-31,,-0.8294655191226875
2003-04-30,,-0.8067432191026384
2003-05-31,,-0.7802338690792477
2003-06-30,,-0.7575115690591986
2003-07-31,,-0.731002219035808
2003-08-31,,-0.7120669690191004
2003-09-30,,-0.7007058190090758
2003-10-31,,-0.6817705689923682
2003-11-30,,-0.6552612189689775
2003-12-31,,-0.6325389189489284
2004-01-31,,-0.6211777689389039
2004-02-29,,-0.6136036689322207
2004-03-31,,-0.5946684189155131
2004-04-30,,-0.564372018888781
2004-05-31,,-0.5378626688653904
2004-06-30,,-0.5075662688386582
2004-07-31,,-0.4810569188152675
2004-08-31,,-0.45454756879187685
2004-09-30,,-0.4128900187551201
2004-10-31,,-0.3712324687183634
2004-11-30,,-0.34093606869163123
2004-12-31,,-0.3182137686715821
2005-01-31,,-0.2917044186481914
2005-02-28,,-0.26140801862145924
2005-03-31,,-0.22353751858804405
2005-04-30,,-0.18566701855462883
2005-05-31,,-0.15158356852455512
2005-06-30,,-0.10992601848779839
2005-07-31,,-0.060694368444358604
2005-08-31,,-0.007675668397577303
2005-09-30,,0.052917131655887045
2005-10-31,,0.132445181726059
2005-11-30,,0.2157602817995725
2005-12-31,,0.29528833186974446
2006-01-31,,0.3634552319298918
2006-02-28,,0.4088998319699901
2006-03-31,,0.45434443201008834
2006-04-30,,0.4960019820468451
2006-05-31,,0.5490206820936264
2006-06-30,,0.6020393821404076
2006-07-31,,0.6512710321838475
2006-08-31,,0.6929285822206042
2006-09-30,,0.7232249822473364
2006-10-31,,0.7535213822740686
2006-11-30,,0.7876048323041422
2006-12-31,,0.821688282334216
2007-01-31,,0.8481976323576066
2007-02-28,,0.8860681323910218
2007-03-31,,0.9352997824344617
2007-04-30,,0.9883184824812429
2007-05-31,,1.033763082521341
2007-06-30,,1.0640594825480734
2007-07-31,,1.1019299825814886
2007-08-31,,1.1398004826149037
2007-09-30,,1.1549486826282698
2007-10-31,,1.1587357326316114
2007-11-30,,1.162522782634953
2007-12-31,1.172005728490108,1.1511616326249283
2008-01-31,1.1846332035104339,1.1322263826082208
2008-02-29,1.197589495058039,1.1360134326115623
2008-03-31,1.2104583435621383,1.1322263826082208
2008-04-30,1.2238355308754254,1.0829947325647808
2008-05-31,1.2379637133708392,1.018614882507975
2008-06-30,1.2526646553749057,0.9618091324578523
2008-07-31,1.2677343459760129,0.916364532417754
2008-08-31,1.2831036570815308,0.8860681323910218
2008-09-30,1.298770438236344,0.8595587823676312
2008-10-31,1.3147224281511474,0.836836482347582
2008-11-30,1.3309286591598688,0.821688282334216
2008-12-31,1.3473590426857902,0.8027530323175084
