,Metro Area,CI Area,Normalised CI
54215,20780,314740.4978944203,6.093877200324577
39704,20780,314740.4978944203,6.093877200324577
46229,20780,314740.4978944203,6.093877200324577
44051,20780,314740.4978944203,6.093877200324577
860,20780,314740.4978944203,6.093877200324577
23899,20780,314740.4978944203,6.093877200324577
33940,20780,314740.4978944203,6.093877200324577
14601,20780,314740.4978944203,6.093877200324577
68009,20780,314740.4978944203,6.093877200324577
70913,20780,314740.4978944203,6.093877200324577
12468,20780,314740.4978944203,6.093877200324577
54941,20780,314740.4978944203,6.093877200324577
17461,20780,314740.4978944203,6.093877200324577
28916,20780,314740.4978944203,6.093877200324577
6962,20780,314740.4978944203,6.093877200324577
25331,20780,314740.4978944203,6.093877200324577
3572,20780,314740.4978944203,6.093877200324577
1538,20780,314740.4978944203,6.093877200324577
45503,20780,314740.4978944203,6.093877200324577
29633,20780,314740.4978944203,6.093877200324577
43325,20780,314740.4978944203,6.093877200324577
57119,20780,314740.4978944203,6.093877200324577
59297,20780,314740.4978944203,6.093877200324577
57845,20780,314740.4978944203,6.093877200324577
72365,20780,314740.4978944203,6.093877200324577
44777,20780,314740.4978944203,6.093877200324577
22467,20780,314740.4978944203,6.093877200324577
62201,20780,314740.4978944203,6.093877200324577
49133,20780,314740.4978944203,6.093877200324577
76721,20780,314740.4978944203,6.093877200324577
8997,20780,314740.4978944203,6.093877200324577
27482,20780,314740.4978944203,6.093877200324577
7640,20780,314740.4978944203,6.093877200324577
11076,20780,314740.4978944203,6.093877200324577
31786,20780,314740.4978944203,6.093877200324577
30350,20780,314740.4978944203,6.093877200324577
65831,20780,314740.4978944203,6.093877200324577
16031,20780,314740.4978944203,6.093877200324577
56393,20780,314740.4978944203,6.093877200324577
182,20780,314740.4978944203,6.093877200324577
20321,20780,314740.4978944203,6.093877200324577
33222,20780,314740.4978944203,6.093877200324577
11772,20780,314740.4978944203,6.093877200324577
55667,20780,314740.4978944203,6.093877200324577
73817,20780,314740.4978944203,6.093877200324577
70187,20780,314740.4978944203,6.093877200324577
21036,20780,314740.4978944203,6.093877200324577
67283,20780,314740.4978944203,6.093877200324577
34660,20780,314740.4978944203,6.093877200324577
28199,20780,314740.4978944203,6.093877200324577
19606,20780,314740.4978944203,6.093877200324577
15316,20780,314740.4978944203,6.093877200324577
68735,20780,314740.4978944203,6.093877200324577
75269,20780,314740.4978944203,6.093877200324577
21751,20780,314740.4978944203,6.093877200324577
16746,20780,314740.4978944203,6.093877200324577
52037,20780,314740.4978944203,6.093877200324577
75995,20780,314740.4978944203,6.093877200324577
2216,20780,314740.4978944203,6.093877200324577
53489,20780,314740.4978944203,6.093877200324577
31068,20780,314740.4978944203,6.093877200324577
66557,20780,314740.4978944203,6.093877200324577
4250,20780,314740.4978944203,6.093877200324577
18891,20780,314740.4978944203,6.093877200324577
5606,20780,314740.4978944203,6.093877200324577
49859,20780,314740.4978944203,6.093877200324577
63653,20780,314740.4978944203,6.093877200324577
36820,20780,314740.4978944203,6.093877200324577
4928,20780,314740.4978944203,6.093877200324577
60023,20780,314740.4978944203,6.093877200324577
24615,20780,314740.4978944203,6.093877200324577
46955,20780,314740.4978944203,6.093877200324577
60749,20780,314740.4978944203,6.093877200324577
69461,20780,314740.4978944203,6.093877200324577
47681,20780,314740.4978944203,6.093877200324577
13171,20780,314740.4978944203,6.093877200324577
48407,20780,314740.4978944203,6.093877200324577
73091,20780,314740.4978944203,6.093877200324577
38980,20780,314740.4978944203,6.093877200324577
42600,20780,314740.4978944203,6.093877200324577
13886,20780,314740.4978944203,6.093877200324577
10380,20780,314740.4978944203,6.093877200324577
8318,20780,314740.4978944203,6.093877200324577
65105,20780,314740.4978944203,6.093877200324577
64379,20780,314740.4978944203,6.093877200324577
40428,20780,314740.4978944203,6.093877200324577
6284,20780,314740.4978944203,6.093877200324577
26765,20780,314740.4978944203,6.093877200324577
50585,20780,314740.4978944203,6.093877200324577
41876,20780,314740.4978944203,6.093877200324577
74543,20780,314740.4978944203,6.093877200324577
18176,20780,314740.4978944203,6.093877200324577
32504,20780,314740.4978944203,6.093877200324577
23183,20780,314740.4978944203,6.093877200324577
61475,20780,314740.4978944203,6.093877200324577
41152,20780,314740.4978944203,6.093877200324577
37540,20780,314740.4978944203,6.093877200324577
36100,20780,314740.4978944203,6.093877200324577
58571,20780,314740.4978944203,6.093877200324577
62927,20780,314740.4978944203,6.093877200324577
71639,20780,314740.4978944203,6.093877200324577
9684,20780,314740.4978944203,6.093877200324577
51311,20780,314740.4978944203,6.093877200324577
38260,20780,314740.4978944203,6.093877200324577
52763,20780,314740.4978944203,6.093877200324577
35380,20780,314740.4978944203,6.093877200324577
26048,20780,314740.4978944203,6.093877200324577
2894,20780,314740.4978944203,6.093877200324577
22847,42100,309852.87765261193,5.978648577796023
24279,42100,309852.87765261193,5.978648577796023
72024,42100,309852.87765261193,5.978648577796023
26428,42100,309852.87765261193,5.978648577796023
10752,42100,309852.87765261193,5.978648577796023
21415,42100,309852.87765261193,5.978648577796023
5290,42100,309852.87765261193,5.978648577796023
46614,42100,309852.87765261193,5.978648577796023
41536,42100,309852.87765261193,5.978648577796023
50970,42100,309852.87765261193,5.978648577796023
19270,42100,309852.87765261193,5.978648577796023
15695,42100,309852.87765261193,5.978648577796023
27145,42100,309852.87765261193,5.978648577796023
30013,42100,309852.87765261193,5.978648577796023
64038,42100,309852.87765261193,5.978648577796023
52422,42100,309852.87765261193,5.978648577796023
48792,42100,309852.87765261193,5.978648577796023
73476,42100,309852.87765261193,5.978648577796023
12144,42100,309852.87765261193,5.978648577796023
10056,42100,309852.87765261193,5.978648577796023
