,CBSA,Latitude,Longitude
1022,44140,42.196666,-72.55606
1026,38340,42.465041,-72.91813
1026,44140,42.465041,-72.91813
1027,44140,42.27279,-72.68677
1028,44140,42.066795,-72.5102
1029,38340,42.175896,-73.04204
1030,44140,42.070774,-72.67248000000001
1031,49340,42.330709999999996,-72.18833000000001
1032,44140,42.45792,-72.81551
1033,44140,42.254563,-72.51831
1034,44140,42.086224,-72.94464
1035,44140,42.35549,-72.5733
1036,44140,42.064703,-72.41735
1037,49340,42.374202000000004,-72.19524
1038,44140,42.375155,-72.60831999999999
1039,44140,42.381475,-72.69259
1040,44140,42.201890999999996,-72.6242
1050,44140,42.290209000000004,-72.87942
1053,44140,42.353105,-72.70206
1054,44140,42.479839,-72.49879
1056,44140,42.174893,-72.47068
1057,44140,42.089269,-72.317
1060,44140,42.324539,-72.63561
1062,44140,42.324232,-72.67915
1063,44140,42.317939,-72.64023399999999
1066,44140,42.406696999999994,-72.633901
1068,49340,42.349769,-72.04413000000001
1069,44140,42.176401,-72.32646
1070,44140,42.515853,-72.91660999999999
1071,44140,42.165931,-72.85153000000001
1072,44140,42.486027,-72.42208000000001
1073,44140,42.223884999999996,-72.72776999999999
1074,49340,42.375997999999996,-72.149388
1075,44140,42.234891,-72.58243
1077,44140,42.05283,-72.76966
1079,44140,42.192892,-72.329574
1080,44140,42.180563,-72.36518000000001
1081,44140,42.058023999999996,-72.22516999999999
1082,49340,42.270610999999995,-72.26066999999999
1082,44140,42.270610999999995,-72.26066999999999
1083,49340,42.204679999999996,-72.20259
1084,44140,42.379807,-72.89043000000001
1085,44140,42.133642,-72.75029
1088,44140,42.388831,-72.6321
1089,44140,42.112792999999996,-72.64066
1092,49340,42.210777,-72.23904
1093,44140,42.442673,-72.652511
1094,49340,42.358201,-72.140846
1095,44140,42.12531,-72.44057
1096,44140,42.415236,-72.78271
1098,38340,42.399054,-72.93871
1098,44140,42.399054,-72.93871
1103,44140,42.103294,-72.59111999999999
1104,44140,42.130342999999996,-72.57338
1105,44140,42.096644,-72.5798
1106,44140,42.050395,-72.5712
1107,44140,42.120193,-72.6061
1108,44140,42.084094,-72.55523000000001
1109,44140,42.116277000000004,-72.55031
1115,44140,42.102894,-72.591633
1118,44140,42.093144,-72.5291
1119,44140,42.128442,-72.50932
1128,44140,42.095344,-72.48857
1129,44140,42.121031,-72.4896
1144,44140,42.101796,-72.59151
1151,44140,42.153926,-72.50531
1199,44140,42.119943,-72.60498299999999
1201,38340,42.45384,-73.25399999999999
1202,38340,42.3929,-73.228483
1220,38340,42.619727000000005,-73.11842
1222,38340,42.057496,-73.32177
1223,38340,42.314448999999996,-73.09335
1225,38340,42.551731,-73.1653
1226,38340,42.476575,-73.11547
1227,38340,42.516145,-73.09285200000001
1229,38340,42.279292,-73.34354499999999
1230,38340,42.189715,-73.35249
1235,38340,42.433661,-73.09278
1235,44140,42.433661,-73.09278
1236,38340,42.266874,-73.36236
1237,38340,42.557346,-73.24364
1238,38340,42.299263,-73.2327
1240,38340,42.36237,-73.27683
1242,38340,42.336557,-73.24599
1243,44140,42.356088,-73.010448
1244,38340,42.139103999999996,-73.20312
1245,38340,42.180659000000006,-73.20849
1247,38340,42.696064,-73.10145
1252,38340,42.198648,-73.44623399999999
1253,38340,42.198403000000006,-73.10205
1254,38340,42.374711,-73.36336
1255,38340,42.088972999999996,-73.12444
1256,38340,42.592506,-73.01123
1257,38340,42.102694,-73.36591
1258,38340,42.103122,-73.45734
1259,38340,42.0645,-73.24674
1260,38340,42.286586,-73.31327399999999
1262,38340,42.283215999999996,-73.31423000000001
1264,38340,42.224905,-73.20394
1266,38340,42.328534999999995,-73.36407
1267,38340,42.689962,-73.22355
1270,38340,42.443726,-73.116127
1301,44140,42.605524,-72.60098
1302,44140,42.522178000000004,-72.62416400000001
1330,44140,42.521131,-72.81116
1331,44140,42.579931,-72.20836
1331,49340,42.579931,-72.20836
1337,44140,42.678022999999996,-72.55569
1338,44140,42.569497999999996,-72.80199999999999
1339,44140,42.626858,-72.87939
1340,44140,42.673371,-72.73104000000001
1341,44140,42.508313,-72.70403
1342,44140,42.542322,-72.6091
1343,38340,42.642666,-72.986231
1344,44140,42.607051,-72.41396
1346,44140,42.669255,-72.80494
1347,44140,42.556558,-72.51810400000001
1349,44140,42.5737,-72.50525
1350,44140,42.712257,-72.97629
1351,44140,42.534976,-72.52521999999999
1355,44140,42.485898999999996,-72.33345
1360,44140,42.682285,-72.45649
1364,44140,42.599614,-72.29263
1364,49340,42.599614,-72.29263
1366,49340,42.474717999999996,-72.21226
1367,44140,42.694883000000004,-72.90961999999999
1367,38340,42.694883000000004,-72.90961999999999
1368,49340,42.671012,-72.16999
1370,44140,42.603446999999996,-72.72754
1373,44140,42.472734,-72.62451999999999
1375,44140,42.449978,-72.56302
1376,44140,42.609425,-72.54438
1378,44140,42.667152,-72.32729
1379,44140,42.547274,-72.41724
1380,44140,42.594455,-72.36314
1420,49340,42.578689000000004,-71.80338
1430,49340,42.658768,-71.93287
1431,15764,42.672005,-71.8137
1432,15764,42.549821,-71.59136
1434,49340,,
1434,15764,,
1436,49340,42.608903000000005,-72.08021
1438,49340,42.563367,-72.03498
1440,49340,42.575355,-71.99183000000001
1441,49340,42.364807,-71.89686800000001
1450,15764,42.609887,-71.55722
1451,49340,42.505928000000004,-71.5888
1452,49340,42.477515000000004,-71.99654
1453,49340,42.526523,-71.75358
1460,15764,42.540052,-71.49085
1462,49340,42.582839,-71.72051
1462,15764,42.582839,-71.72051
1463,15764,42.665686,-71.5929
1464,15764,42.559289,-71.64555
1467,49340,42.488665999999995,-71.62411999999999
1468,49340,42.557796,-72.06824
1469,15764,42.658738,-71.69204
1472,15764,42.446396,-71.459405
1473,49340,42.544622,-71.9021
1474,15764,42.669408000000004,-71.74578000000001
1475,49340,42.675441,-72.0467
1501,49340,42.20361,-71.83843
1503,49340,42.380562,-71.62665
1504,14484,42.028147,-71.52999
1504,49340,42.028147,-71.52999
1505,49340,42.338392,-71.73026
1506,49340,42.200374,-72.09787
1507,49340,42.135142,-71.96961
1508,49340,42.109747999999996,-72.07945500000001
1510,49340,42.418836,-71.68482
1515,49340,42.212777,-72.05311
1516,49340,42.061437,-71.72887
1518,49340,42.12515,-72.12393
1519,49340,42.201674,-71.68771
1520,49340,42.338962,-71.84434
1521,44140,42.054676,-72.16136999999999
1522,49340,42.369658,-71.87418000000001
1523,49340,42.473131,-71.67945999999999
1524,49340,42.238942,-71.91908000000001
1527,49340,42.196144,-71.76272
1529,49340,42.036396,-71.57798000000001
