ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,35004,0.000000000,1.000000000,0.000000000,1.000000000
00544,35004,0.000000000,1.000000000,0.000000000,1.000000000
00601,10260,1.000000000,1.000000000,1.000000000,1.000000000
00602,10380,1.000000000,1.000000000,1.000000000,1.000000000
00603,10380,1.000000000,1.000000000,1.000000000,1.000000000
00605,10380,0.000000000,0.000000000,1.000000000,1.000000000
00606,99999,1.000000000,1.000000000,1.000000000,1.000000000
00610,10380,1.000000000,1.000000000,1.000000000,1.000000000
00611,46580,0.000000000,0.000000000,1.000000000,1.000000000
00612,41980,1.000000000,1.000000000,1.000000000,1.000000000
00616,41980,1.000000000,1.000000000,1.000000000,1.000000000
00617,41980,1.000000000,1.000000000,1.000000000,1.000000000
00622,41900,1.000000000,1.000000000,1.000000000,1.000000000
00623,41900,1.000000000,1.000000000,1.000000000,1.000000000
00624,49500,0.996485944,1.000000000,1.000000000,0.996676689
00624,38660,0.003514056,0.000000000,0.000000000,0.003323311
00627,41980,1.000000000,1.000000000,1.000000000,1.000000000
00631,10380,0.000000000,0.000000000,1.000000000,1.000000000
00637,41900,1.000000000,1.000000000,1.000000000,1.000000000
00638,41980,1.000000000,1.000000000,1.000000000,1.000000000
00641,46580,1.000000000,1.000000000,1.000000000,1.000000000
00646,41980,1.000000000,1.000000000,1.000000000,1.000000000
00647,49500,1.000000000,1.000000000,1.000000000,1.000000000
00650,41980,1.000000000,1.000000000,1.000000000,1.000000000
00652,41980,1.000000000,1.000000000,1.000000000,1.000000000
00653,49500,1.000000000,1.000000000,1.000000000,1.000000000
00656,49500,1.000000000,1.000000000,1.000000000,1.000000000
00659,41980,0.961260961,0.811851852,0.802631579,0.949692623
00659,10380,0.038739039,0.188148148,0.197368421,0.050307377
00660,32420,1.000000000,1.000000000,1.000000000,1.000000000
00662,10380,1.000000000,1.000000000,1.000000000,1.000000000
00664,27580,1.000000000,1.000000000,1.000000000,1.000000000
00667,41900,1.000000000,1.000000000,1.000000000,1.000000000
00669,10380,1.000000000,1.000000000,1.000000000,1.000000000
00670,99999,1.000000000,1.000000000,1.000000000,1.000000000
00674,41980,1.000000000,1.000000000,1.000000000,1.000000000
00676,10380,1.000000000,1.000000000,1.000000000,1.000000000
00677,10380,1.000000000,1.000000000,1.000000000,1.000000000
00678,41980,1.000000000,1.000000000,1.000000000,1.000000000
00680,10380,0.010700197,0.000770713,0.000000000,0.009237778
00680,32420,0.989299803,0.999229287,1.000000000,0.990762222
00681,32420,0.000000000,0.000000000,1.000000000,1.000000000
00682,32420,1.000000000,1.000000000,1.000000000,1.000000000
00683,41900,1.000000000,1.000000000,1.000000000,1.000000000
00685,10380,1.000000000,1.000000000,1.000000000,1.000000000
00687,41980,1.000000000,1.000000000,1.000000000,1.000000000
00688,41980,1.000000000,1.000000000,1.000000000,1.000000000
00690,10380,1.000000000,1.000000000,1.000000000,1.000000000
00692,41980,1.000000000,1.000000000,1.000000000,1.000000000
00693,41980,1.000000000,1.000000000,1.000000000,1.000000000
00698,49500,1.000000000,1.000000000,1.000000000,1.000000000
00703,41980,1.000000000,1.000000000,1.000000000,1.000000000
00704,17620,1.000000000,1.000000000,1.000000000,1.000000000
00705,41980,1.000000000,1.000000000,1.000000000,1.000000000
00707,41980,1.000000000,1.000000000,1.000000000,1.000000000
00714,25020,1.000000000,1.000000000,1.000000000,1.000000000
00715,38660,1.000000000,1.000000000,1.000000000,1.000000000
00716,38660,1.000000000,1.000000000,1.000000000,1.000000000
00717,38660,1.000000000,1.000000000,1.000000000,1.000000000
00718,41980,1.000000000,1.000000000,1.000000000,1.000000000
00719,41980,1.000000000,1.000000000,1.000000000,1.000000000
00720,41980,0.992170819,1.000000000,1.000000000,0.992838542
00720,38660,0.007829181,0.000000000,0.000000000,0.007161458
00721,41980,0.000000000,0.000000000,1.000000000,1.000000000
00723,25020,1.000000000,1.000000000,1.000000000,1.000000000
00725,41980,1.000000000,1.000000000,1.000000000,1.000000000
00727,41980,1.000000000,1.000000000,1.000000000,1.000000000
00728,38660,1.000000000,1.000000000,1.000000000,1.000000000
00729,41980,1.000000000,1.000000000,1.000000000,1.000000000
00730,38660,1.000000000,1.000000000,1.000000000,1.000000000
00731,38660,1.000000000,1.000000000,1.000000000,1.000000000
00735,21940,1.000000000,1.000000000,1.000000000,1.000000000
00736,41980,1.000000000,1.000000000,1.000000000,1.000000000
00738,21940,1.000000000,1.000000000,1.000000000,1.000000000
00739,41980,1.000000000,1.000000000,1.000000000,1.000000000
00740,21940,1.000000000,1.000000000,1.000000000,1.000000000
