ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,35004,0.00000000000,1.00000000000,0.00000000000,1.00000000000
00544,35004,0.00000000000,1.00000000000,0.00000000000,1.00000000000
00601,10260,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00602,10380,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00603,10380,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00605,10380,0.00000000000,0.00000000000,1.00000000000,1.00000000000
00606,99999,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00610,10380,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00611,46580,0.00000000000,0.00000000000,1.00000000000,1.00000000000
00612,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00616,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00617,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00622,41900,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00623,41900,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00624,49500,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00627,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00631,10380,0.00000000000,0.00000000000,1.00000000000,1.00000000000
00637,41900,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00638,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00641,46580,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00646,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00647,49500,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00650,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00652,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00653,49500,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00656,49500,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00659,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00660,32420,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00662,10380,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00664,27580,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00667,41900,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00669,10380,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00670,99999,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00674,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00676,10380,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00677,10380,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00678,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00680,32420,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00681,32420,0.00000000000,0.00000000000,1.00000000000,1.00000000000
00682,32420,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00683,41900,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00685,10380,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00687,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00688,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00690,10380,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00692,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00693,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00698,49500,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00703,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00704,17620,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00705,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00707,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00714,25020,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00715,38660,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00716,38660,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00717,38660,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00718,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00719,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00720,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00721,41980,0.00000000000,0.00000000000,1.00000000000,1.00000000000
00723,25020,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00725,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00727,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00728,38660,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00729,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00730,38660,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00731,38660,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00735,21940,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00736,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00738,21940,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00739,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00740,21940,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00741,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00742,21940,0.00000000000,0.00000000000,1.00000000000,1.00000000000
00744,41980,0.00000000000,0.00000000000,1.00000000000,1.00000000000
00745,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00751,17620,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00754,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00757,42180,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00765,99999,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00766,38660,1.00000000000,1.00000000000,1.00000000000,1.00000000000
