,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes,ZHVI_AllHomes
Code,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,257041.66666666666,132783.33333333334,105425.0,180633.33333333334,345975.0,213000.0,258958.33333333334,349600.0,221541.66666666666,156191.66666666666,139458.33333333334,459891.6666666667,112325.0,175725.0,178183.33333333334,111908.33333333333,120491.66666666667,120366.66666666667,0.0,295575.0,260450.0,187408.33333333334,106741.66666666667,179450.0,142900.0,123283.33333333333,205933.33333333334,147000.0,146908.33333333334,121333.33333333333,212866.66666666666,309825.0,193008.33333333334,174000.0,275741.6666666667,114600.0,88850.0,231233.33333333334,152766.66666666666,231791.66666666666,133658.33333333334,145883.33333333334,119225.0,132050.0,240658.33333333334,226925.0,217591.66666666666,261258.33333333334,156050.0,88025.0,207708.33333333334
2010,242975.0,117833.33333333333,105291.66666666667,152558.33333333334,333025.0,214466.66666666666,251791.66666666666,362491.6666666667,204950.0,139266.66666666666,130550.0,437075.0,112883.33333333333,154466.66666666666,161558.33333333334,112491.66666666667,115991.66666666667,118866.66666666667,0.0,295666.6666666667,246050.0,179991.66666666666,95791.66666666667,163841.66666666666,134258.33333333334,115983.33333333333,178258.33333333334,141375.0,159375.0,122950.0,206883.33333333334,292016.6666666667,173783.33333333334,143933.33333333334,261625.0,111858.33333333333,94658.33333333333,213266.66666666666,150141.66666666666,223758.33333333334,127608.33333333333,139691.66666666666,116550.0,125083.33333333333,199808.33333333334,218516.66666666666,199016.66666666666,243483.33333333334,148800.0,90625.0,198266.66666666666
2011,241341.66666666666,115616.66666666667,103741.66666666667,135883.33333333334,313125.0,208000.0,239375.0,358425.0,192383.33333333334,127666.66666666667,117525.0,425725.0,110883.33333333333,143366.66666666666,147766.66666666666,110250.0,112241.66666666667,117766.66666666667,0.0,286950.0,227908.33333333334,177183.33333333334,89375.0,151858.33333333334,127108.33333333333,110358.33333333333,174191.66666666666,136841.66666666666,160858.33333333334,120033.33333333333,198841.66666666666,273991.6666666667,163125.0,128375.0,250908.33333333334,107350.0,94825.0,197008.33333333334,145000.0,212625.0,122566.66666666667,138500.0,114116.66666666667,122425.0,183500.0,210875.0,201225.0,224500.0,143733.33333333334,88341.66666666667,200858.33333333334
2012,241933.33333333334,116283.33333333333,104191.66666666667,145766.66666666666,313383.3333333333,212283.33333333334,230858.33333333334,374041.6666666667,186166.66666666666,129250.0,113683.33333333333,432475.0,111991.66666666667,140566.66666666666,140458.33333333334,108641.66666666667,111325.0,117433.33333333333,0.0,284333.3333333333,224058.33333333334,178250.0,90483.33333333333,151908.33333333334,121750.0,107458.33333333333,170575.0,135466.66666666666,169783.33333333334,121933.33333333333,197066.66666666666,263091.6666666667,157633.33333333334,129575.0,243233.33333333334,106483.33333333333,94208.33333333333,195100.0,142758.33333333334,204283.33333333334,120316.66666666667,141000.0,114041.66666666667,122700.0,178083.33333333334,211108.33333333334,200658.33333333334,220766.66666666666,141008.33333333334,88933.33333333333,179866.66666666666
2013,247508.33333333334,116025.0,107016.66666666667,169566.66666666666,366900.0,227741.66666666666,235300.0,411200.0,189766.66666666666,143666.66666666666,121091.66666666667,463366.6666666667,114275.0,150158.33333333334,144183.33333333334,111041.66666666667,110341.66666666667,118366.66666666667,0.0,301908.3333333333,235008.33333333334,179425.0,99350.0,163700.0,123083.33333333333,107450.0,173600.0,138216.66666666666,180108.33333333334,125316.66666666667,202708.33333333334,269066.6666666667,157308.33333333334,159125.0,245550.0,108650.0,95275.0,211291.66666666666,144425.0,210725.0,122375.0,145316.66666666666,116625.0,127516.66666666667,191366.66666666666,218308.33333333334,206091.66666666666,237608.33333333334,142891.66666666666,90266.66666666667,177358.33333333334
2014,252716.66666666666,117450.0,108316.66666666667,183908.33333333334,411291.6666666667,245466.66666666666,238583.33333333334,452241.6666666667,196391.66666666666,159008.33333333334,129150.0,503525.0,116541.66666666667,157983.33333333334,150091.66666666666,112991.66666666667,112616.66666666667,119675.0,0.0,316583.3333333333,244175.0,182375.0,110058.33333333333,174250.0,125425.0,108158.33333333333,178083.33333333334,141266.66666666666,189758.33333333334,128308.33333333333,210908.33333333334,277983.3333333333,158716.66666666666,184991.66666666666,251400.0,111783.33333333333,96200.0,229475.0,146091.66666666666,216625.0,124933.33333333333,147925.0,120166.66666666667,134741.66666666666,206658.33333333334,224600.0,208091.66666666666,252783.33333333334,145083.33333333334,92625.0,180575.0
