CBSACode,democrat,green,republican,total,%democrat,%republican
10100,422637.0,4661.0,571148.0,993785.0,0.42528011592044557,0.5747198840795544
10140,72221.0,1059.0,62181.0,134402.0,0.5373506346631747,0.4626493653368253
10180,231887.0,1619.0,515957.0,747844.0,0.3100740261337926,0.6899259738662074
10220,36182.0,84.0,90559.0,126741.0,0.2854798368325956,0.7145201631674044
10300,102318.0,760.0,117362.0,219680.0,0.46575928623452295,0.5342407137654771
10420,1091616.0,12725.0,862877.0,1954493.0,0.5585161983184386,0.4414838016815614
10460,49724.0,476.0,84200.0,133924.0,0.3712852065350497,0.6287147934649503
10500,1050543.0,6131.0,1449367.0,2499910.0,0.4202323283638211,0.5797676716361789
10540,419604.0,3880.0,409167.0,828771.0,0.5062966730254799,0.49370332697452013
10580,1098871.0,18911.0,863453.0,1962324.0,0.559984487780815,0.440015512219185
10620,39119.0,0.0,94559.0,133678.0,0.29263603584733466,0.7073639641526653
10660,43529.0,555.0,37256.0,80785.0,0.5388252769697345,0.4611747230302655
10700,273774.0,1756.0,442953.0,716727.0,0.38197807533412304,0.618021924665877
10740,893718.0,10263.0,724214.0,1617932.0,0.5523829184415662,0.4476170815584338
10780,340902.0,3108.0,587801.0,928703.0,0.3670732193176936,0.6329267806823063
10820,1292986.0,18139.0,1629245.0,2922231.0,0.4424653629367425,0.5575346370632575
10860,34134.0,73.0,25174.0,59308.0,0.5755378701018412,0.4244621298981588
10900,1507139.0,13662.0,1816119.0,3323258.0,0.4535124868427308,0.5464875131572692
10940,36296.0,265.0,44589.0,80885.0,0.44873585955368733,0.5512641404463127
10980,33591.0,262.0,37947.0,71538.0,0.46955464228801475,0.5304453577119852
11020,83926.0,693.0,169289.0,253215.0,0.33144166024919536,0.6685583397508047
11060,1327209.0,14270.0,1719649.0,3046858.0,0.4355992304203215,0.5644007695796784
11100,187911.0,1836.0,540985.0,728896.0,0.25780221046623936,0.7421977895337607
11140,246449.0,637.0,287850.0,534299.0,0.461256712065716,0.5387432879342839
11180,119223.0,1317.0,95168.0,214391.0,0.5561007691554216,0.4438992308445784
11220,4136802.0,29519.0,3378717.0,7515519.0,0.5504346406415844,0.4495653593584156
11380,3974.0,28.0,18310.0,22284.0,0.1783342308382696,0.8216657691617304
11420,96708.0,1288.0,163203.0,259911.0,0.372081212415019,0.627918787584981
11460,576551.0,4843.0,274903.0,851454.0,0.6771369915462256,0.32286300845377436
11500,303154.0,2047.0,414764.0,717918.0,0.42226828133575145,0.5777317186642486
11540,259866.0,3241.0,293463.0,553329.0,0.46964102730925,0.5303589726907499
11580,26022.0,67.0,33775.0,59797.0,0.435172333060187,0.564827666939813
11620,78856.0,304.0,178130.0,256986.0,0.30684940035643965,0.6931505996435603
11660,2422926.0,15670.0,2158394.0,4581320.0,0.5288707184828827,0.47112928151711736
11680,23235.0,416.0,42330.0,65565.0,0.354381148478609,0.645618851521391
11700,1748188.0,8166.0,2314262.0,4062450.0,0.43032849635072434,0.5696715036492757
11740,64167.0,1003.0,92981.0,157148.0,0.40832209127701274,0.5916779087229872
11780,108299.0,1109.0,99544.0,207843.0,0.5210615705123579,0.4789384294876421
11820,48571.0,939.0,38032.0,86603.0,0.5608466219415031,0.4391533780584968
11860,18403.0,268.0,28848.0,47251.0,0.38947323866161565,0.6105267613383843
11900,87554.0,1663.0,50189.0,137743.0,0.635633026723681,0.36436697327631895
11940,25691.0,142.0,62780.0,88471.0,0.29038894100891816,0.7096110589910818
11980,187614.0,538.0,349912.0,537526.0,0.34903241889694636,0.6509675811030536
12020,1437336.0,9843.0,1948018.0,3385354.0,0.42457480074461934,0.5754251992553807
12060,7886930.0,43788.0,10621854.0,18508784.0,0.42611821500537256,0.5738817849946274
12100,302980.0,2188.0,234194.0,537174.0,0.5640258091419168,0.43597419085808325
12180,81699.0,1448.0,75887.0,157586.0,0.5184407244298351,0.48155927557016487
12220,875098.0,5598.0,1264665.0,2139763.0,0.4089695914921419,0.5910304085078582
12260,2102281.0,17119.0,2484124.0,4586405.0,0.4583722981289267,0.5416277018710733
12300,165973.0,2955.0,138006.0,303979.0,0.5460015330006349,0.4539984669993651
12380,53198.0,678.0,37300.0,90498.0,0.5878361952750337,0.4121638047249663
12420,1846126.0,39496.0,1921156.0,3767282.0,0.49004189227140416,0.5099581077285958
12460,52964.0,191.0,93597.0,146561.0,0.3613785386289668,0.6386214613710333
12540,416247.0,3474.0,642075.0,1058322.0,0.3933084637756751,0.6066915362243249
12580,3700373.0,30415.0,3061723.0,6762096.0,0.5472227841781602,0.45277721582183983
12620,183906.0,3772.0,188623.0,372529.0,0.4936689492630104,0.5063310507369896
12660,80788.0,858.0,65192.0,145980.0,0.5534182764762297,0.4465817235237704
12680,56080.0,534.0,75146.0,131226.0,0.42735433526892536,0.5726456647310746
12700,352035.0,7976.0,278452.0,630487.0,0.5583540977054245,0.44164590229457545
12740,2411809.0,29573.0,2925493.0,5337302.0,0.4518779338324869,0.5481220661675131
12780,2411809.0,29573.0,2925493.0,5337302.0,0.4518779338324869,0.5481220661675131
12820,27460.0,103.0,34463.0,61923.0,0.44345396702356155,0.5565460329764385
12860,671488.0,4547.0,454539.0,1126027.0,0.5963338356895528,0.4036661643104473
12900,20439.0,171.0,40494.0,60933.0,0.33543400128009454,0.6645659987199055
12940,988955.0,6280.0,1382975.0,2371930.0,0.416941056439271,0.5830589435607291
12980,303154.0,2047.0,414764.0,717918.0,0.42226828133575145,0.5777317186642486
13020,248827.0,1800.0,392426.0,641253.0,0.38803249263551204,0.611967507364488
13060,20971.0,141.0,39944.0,60915.0,0.3442666010013954,0.6557333989986046
13100,18482.0,355.0,29441.0,47923.0,0.3856603301128894,0.6143396698871105
13140,8521238.0,69135.0,8943455.0,17464693.0,0.48791226962878764,0.5120877303712124
13180,141485.0,1869.0,221983.0,363468.0,0.38926397922238,0.61073602077762
13220,729151.0,5375.0,977141.0,1706292.0,0.42733072651105436,0.5726692734889456
13260,310316.0,1761.0,504197.0,814513.0,0.3809834833820946,0.6190165166179055
13300,18381.0,66.0,23428.0,41809.0,0.43964218230524527,0.5603578176947547
13340,151164.0,1144.0,308760.0,459924.0,0.3286716935841574,0.6713283064158426
13380,257966.0,4502.0,198090.0,456056.0,0.5656454470503622,0.43435455294963776
13420,50418.0,1269.0,48765.0,99183.0,0.5083330812740087,0.49166691872599133
13460,171464.0,2799.0,201108.0,372572.0,0.4602170855566172,0.5397829144433828
13500,28892.0,52.0,18061.0,46953.0,0.6153387429983175,0.3846612570016825
13540,53667.0,1112.0,32645.0,86312.0,0.6217791268884976,0.37822087311150243
13620,2287911.0,26509.0,1198308.0,3486219.0,0.6562728847499254,0.34372711525007466
13660,36473.0,325.0,46501.0,82974.0,0.43957143201484805,0.560428567985152
13700,528663.0,4368.0,463605.0,992268.0,0.5327824740896613,0.4672175259103387
13720,59185.0,430.0,146414.0,205599.0,0.2878661861195823,0.7121338138804177
13740,217267.0,3317.0,327585.0,544852.0,0.3987633338961773,0.6012366661038226
13780,286793.0,5076.0,315248.0,602041.0,0.4763678885657289,0.5236321114342711
13820,5533368.0,37256.0,6016219.0,11549587.0,0.47909661185287405,0.520903388147126
13900,101942.0,1728.0,261176.0,363118.0,0.2807406958619512,0.7192593041380488
13940,18085.0,74.0,59939.0,78024.0,0.23178765508048804,0.768212344919512
13980,4879386.0,32633.0,4276701.0,9156087.0,0.5329117121757362,0.4670882878242638
14010,183807.0,1760.0,243353.0,427160.0,0.43030012173424476,0.5696998782657552
14020,1733331.0,19399.0,1605122.0,3338453.0,0.5192018578665029,0.48079814213349714
14100,409715.0,4757.0,591354.0,1001069.0,0.40927748237134504,0.590722517628655
14140,865580.0,7899.0,837369.0,1702949.0,0.5082829843994153,0.4917170156005846
14180,44197.0,139.0,46889.0,91086.0,0.4852227565158202,0.5147772434841797
14220,2411809.0,29573.0,2925493.0,5337302.0,0.4518779338324869,0.5481220661675131
14260,431909.0,5624.0,713584.0,1145493.0,0.377050754565938,0.622949245434062
14340,424265.0,3590.0,597977.0,1022242.0,0.4150338178239595,0.5849661821760405
14380,60889.0,0.0,63999.0,124888.0,0.48754884376401253,0.5124511562359875
14420,11606.0,59.0,49138.0,60744.0,0.19106413802186223,0.8089358619781377
14460,10898018.0,154504.0,6894942.0,17792960.0,0.6124904456594069,0.38750955434059314
14500,557131.0,16498.0,238740.0,795871.0,0.7000267631312109,0.299973236868789
14540,1603056.0,12703.0,2686129.0,4289185.0,0.3737437298694274,0.6262562701305726
14580,109052.0,2623.0,129074.0,238126.0,0.4579592316672686,0.5420407683327314
14620,27591.0,403.0,51006.0,78597.0,0.351043932974541,0.6489560670254589
14660,468719.0,6097.0,682419.0,1151138.0,0.4071788091436474,0.5928211908563525
14700,64906.0,546.0,167285.0,232191.0,0.2795371052280235,0.7204628947719766
14720,800574.0,8242.0,611497.0,1412071.0,0.5669502454196709,0.4330497545803292
14740,310155.0,4607.0,257196.0,567351.0,0.5466721659078772,0.45332783409212285
14780,2411809.0,29573.0,2925493.0,5337302.0,0.4518779338324869,0.5481220661675131
14820,31800.0,0.0,47952.0,79752.0,0.3987360818537466,0.6012639181462534
14860,1263337.0,13849.0,1072982.0,2336319.0,0.5407382296681232,0.45926177033187676
15020,495733.0,5526.0,837618.0,1333351.0,0.37179482371858574,0.6282051762814143
15060,42290.0,750.0,81174.0,123464.0,0.3425289963066157,0.6574710036933843
15100,27902.0,0.0,33273.0,61175.0,0.4561013485901103,0.5438986514098897
15180,232922.0,795.0,167484.0,400406.0,0.5817145597218822,0.4182854402781177
15220,419375.0,4661.0,564547.0,983922.0,0.42622789204835343,0.5737721079516466
15260,90065.0,173.0,162217.0,252282.0,0.357001292204755,0.642998707795245
15340,267489.0,3114.0,422355.0,689844.0,0.38775288326056323,0.6122471167394368
15380,1827324.0,25275.0,1426701.0,3254025.0,0.561558070389748,0.4384419296102519
15420,12568.0,50.0,58077.0,70645.0,0.17790360251964046,0.8220963974803596
15460,243983.0,947.0,390904.0,634887.0,0.3842935829525569,0.6157064170474431
15500,125771.0,0.0,174451.0,300222.0,0.41892666093757286,0.5810733390624271
15540,2622127.0,27669.0,2345863.0,4967990.0,0.5278044037930834,0.4721955962069167
15580,49426.0,876.0,29304.0,78730.0,0.6277911850628731,0.3722088149371269
15620,40477.0,475.0,66524.0,107001.0,0.37828618424126875,0.6217138157587312
15660,18949.0,18.0,61116.0,80065.0,0.23667020545806533,0.7633297945419347
15700,127264.0,698.0,182392.0,309656.0,0.41098509313560855,0.5890149068643915
15740,33845.0,405.0,47777.0,81622.0,0.4146553625248095,0.5853446374751905
15780,446465.0,2676.0,642427.0,1088892.0,0.4100177060718602,0.5899822939281398
15820,123725.0,1166.0,300632.0,424357.0,0.2915587583096308,0.7084412416903692
15860,66513.0,916.0,152208.0,218721.0,0.30409974350885377,0.6959002564911463
15900,1336093.0,2769.0,853610.0,2189703.0,0.6101708770550162,0.38982912294498384
15940,854862.0,8591.0,1221126.0,2075988.0,0.41178561725790325,0.5882143827420968
15980,875098.0,5598.0,1264665.0,2139763.0,0.4089695914921419,0.5910304085078582
16020,89502.0,445.0,207484.0,296986.0,0.30136774124032784,0.6986322587596722
16060,1791475.0,18768.0,2545672.0,4337147.0,0.41305378858498454,0.5869462114150155
16100,34930.0,292.0,65164.0,100094.0,0.34897196635162947,0.6510280336483706
16180,48319.0,605.0,61193.0,109512.0,0.4412210534005406,0.5587789465994594
16220,44522.0,590.0,107541.0,152063.0,0.2927865424199181,0.7072134575800819
16260,43475.0,699.0,98428.0,141903.0,0.3063712536028132,0.6936287463971869
16300,1002637.0,10015.0,1307938.0,2310575.0,0.4339339774731398,0.5660660225268602
16340,1337081.0,8711.0,1518943.0,2856024.0,0.46816168211471615,0.5318383178852839
16380,713317.0,6715.0,603579.0,1316896.0,0.5416654010643209,0.45833459893567907
16460,1897989.0,11837.0,1932045.0,3830034.0,0.49555408646502874,0.5044459135349713
16500,113179.0,1567.0,207888.0,321067.0,0.3525089778768917,0.6474910221231083
16540,2354151.0,21726.0,2223175.0,4577326.0,0.5143070430203136,0.4856929569796864
