metro_name,cbsa_id,ratio_of_public_transport,median_income,pctg_below_poverty_line,enrolled_in_school,sqmi,hse_units,avg_fam_sz,pop_sqmi,pct_dem,pct_repub,latitude,longitude,au3
"Aberdeen, WA",10140.0,0.2481730960525419,0.12034757065119557,0.0132902692122176,-0.07730343423727094,0.02877097693099468,-0.20785369214648972,0.4142324514152173,-0.42603680318534365,1.0234741313719369,-1.023474131371938,1.635780256034385,-2.3128946984274914,0.3752304378398586
"Ada, OK",10220.0,-0.5200855403052231,0.19556187068383146,0.0,-0.22816692351880732,-0.46515224285340667,-0.27256403457872186,0.4554587946190493,-0.35100590957327193,-1.291987529829675,1.291987529829674,-0.5900055956845927,-0.3273215012879443,-1.5895819544340115
"Adrian, MI",10300.0,-0.42480249873216763,0.8689486233305884,-0.42971870452837085,-0.22454079870124713,-0.45031908565643736,-0.1789812621538412,0.4637040632598155,0.07204061823947236,0.36533105171340335,-0.36533105171340335,0.7580644097283898,0.6170128321155712,0.5838027949302298
"Akron, OH",10420.0,0.19167365796014596,0.5336095211075206,-0.2556794648445682,-0.26468225451445865,-0.3835678277921661,0.7587942883520122,0.44721352597828273,3.4228883989147567,1.2180502855097066,-1.2180502855097077,0.6040464842084642,0.7840544807135886,0.2557740709020656
"Albany, GA",10500.0,0.0014358516819951747,1.9388251625759771,1.6745739207394248,-0.15946655873205856,-0.10279998860684506,-0.100204059972596,0.5461567496674792,-0.19881558636013374,-0.05320069713847951,0.05320069713847849,-1.1740698295130567,0.589454311878044,0.2590281990056628
"Albany-Lebanon, OR",10540.0,-0.30359326662186886,-0.7670144898446392,0.25061650514467576,-0.2730270602757909,0.1833319007896001,-0.16027307042918154,0.4719493319005817,-0.3573915175402568,0.7379934078429061,-0.7379934078429077,1.2090559992685268,-2.2594981901530526,0.3601961363295198
"Albany-Schenectady-Troy, NY",10580.0,1.1574840049211221,-1.0308895895436234,-0.8885494273311234,-0.20074775748091964,0.4177958478236963,1.0400478557291082,0.43072298869675,0.9835861555265556,1.2315483487507082,-1.2315483487507102,0.8160360163967892,1.3376603423379387,0.4204622732220414
"Albemarle, NC",10620.0,-0.5209914402676591,-0.7198232461953536,0.0,-0.2498946343875915,-0.5965345644235768,-0.2359246909421422,0.4389682573375166,0.16995327373323965,-1.2262002110881716,1.2262002110881705,-0.4857266204712772,0.8793797220248738,0.30762660239784045
"Albuquerque, NM",10740.0,0.36015076838836985,-1.2562199648491519,0.0132902692122176,-0.2645152858041406,3.0495063264436317,0.9742155096210816,0.5461567496674792,-0.1184633527755747,1.1616667168918395,-1.1616667168918406,-0.47893136568367717,-1.040147286241525,0.3685262399368047
"Alexandria, LA",10780.0,-0.060321319074974025,-0.05560388745839175,0.3771904976419869,-0.20916878808826667,0.0684108158765034,-0.10539594033574425,0.5131756751044136,-0.22169734824182932,-0.5418952182982489,0.5418952182982475,-1.2915747612226234,-0.053647106898995406,-0.07378530433768725
