,index,NAME,CS
77,77,"Gadsden, AL",0.27110720843277014
160,160,"Owosso, MI",0.25981735723222976
96,96,"Homosassa Springs, FL",0.2526527079610925
203,203,"Shelby, NC",0.24984025363312123
26,26,"Brunswick, GA",0.23908723626168632
11,11,"Ashtabula, OH",0.23595291456888562
27,27,"Burlington, NC",0.23031868561688482
91,91,"Greeneville, TN",0.2163161464805148
192,192,"Salinas, CA",0.21433817844072997
201,201,"Sevierville, TN",0.20222674146700267
148,148,"Mount Airy, NC",0.17545230849126234
78,78,"Gainesville, FL",0.1717712616861793
243,243,"Yuba City, CA",0.16256843596626555
115,115,"Klamath Falls, OR",0.1222788884326094
134,134,"Marion, IN",0.11180663773641317
207,207,"Spartanburg, SC",0.11012532943513967
54,54,"Danville, VA",0.0876850226419924
72,72,"Florence, SC",0.08532884466021265
55,55,"Dayton, OH",0.06530936124653855
178,178,"Richmond, IN",0.04997700688911806
169,169,"Portsmouth, OH",0.04617578098055016
153,153,"Ocala, FL",0.03976556243394086
79,79,"Gainesville, GA",0.0397225996060694
40,40,"Cleveland, TN",0.0379149566386974
94,94,"Hattiesburg, MS",0.01629782282563101
143,143,"Modesto, CA",0.010575549255358599
38,38,"Chillicothe, OH",0.0031342903181573113
67,67,"Farmington, NM",-0.0008339377269009546
172,172,"Pueblo, CO",-0.0029671832293642494
149,149,"Muncie, IN",-0.009688015628845234
173,173,"Punta Gorda, FL",-0.01992057150967063
47,47,"Cookeville, TN",-0.06899347065541142
245,245,"Zanesville, OH",-0.079665556823578
212,212,"Springfield, OH",-0.10071116088640068
71,71,"Flint, MI",-0.10150599102331771
136,136,"Martinsville, VA",-0.10460419862571761
199,199,"Sebring, FL",-0.10872411743666445
191,191,"Salem, OR",-0.20567869532236727
131,131,"Macon, GA",-0.21867225144084518
147,147,"Morristown, TN",-0.22942874916777942
138,138,"Merced, CA",-0.23600749429676068
48,48,"Coos Bay, OR",-0.24204567628719706
108,108,"Johnson City, TN",-0.2563884609057563
228,228,"Tupelo, MS",-0.25731976785573335
4,4,"Alexandria, LA",-0.2667319750575846
187,187,"Roseburg, OR",-0.2873803438132556
87,87,"Grants Pass, OR",-0.3008225329799643
142,142,"Mobile, AL",-0.30701525791678297
161,161,"Palatka, FL",-0.3345136083493863
39,39,"Clearlake, CA",-0.35875699163712327
238,238,"Wilson, NC",-0.3742160227317496
198,198,"Searcy, AR",-0.38799107880044387
226,226,"Tullahoma, TN",-0.41225689631348206
188,188,"Russellville, AR",-0.41728034596571045
200,200,"Seneca, SC",-0.4398335772458386
6,6,"Amarillo, TX",-0.444940961949209
146,146,"Morgantown, WV",-0.44517047444661634
76,76,"Fresno, CA",-0.45451837692875696
122,122,"Las Cruces, NM",-0.4551299282966456
53,53,"Dalton, GA",-0.45635658662707707
185,185,"Rocky Mount, NC",-0.45710837130408405
110,110,"Jonesboro, AR",-0.4814473130209715
64,64,"El Paso, TX",-0.48337371816782304
60,60,"El Centro, CA",-0.5275505500793833
118,118,"Lake Charles, LA",-0.5321019757870015
84,84,"Goldsboro, NC",-0.5331618838700012
25,25,"Bowling Green, KY",-0.5381241308153296
181,181,"Roanoke Rapids, NC",-0.5636648789898101
216,216,"Stillwater, OK",-0.5938496109089989
119,119,"Lake City, FL",-0.599937435425316
231,231,"Valdosta, GA",-0.6007947806544242
186,186,"Rome, GA",-0.6046260219533514
5,5,"Altoona, PA",-0.6049017795632403
140,140,"Midland, TX",-0.608560655579506
159,159,"Owensboro, KY",-0.6247271316249994
103,103,"Jackson, MS",-0.6350766615745213
81,81,"Gallup, NM",-0.6409039327299536
2,2,"Albany, GA",-0.651962296886984
23,23,"Bloomington, IN",-0.6615124520926176
244,244,"Yuma, AZ",-0.6698513622206264
236,236,"Williamsport, PA",-0.6757108531313688
85,85,"Grand Island, NE",-0.6837356973816646
92,92,"Hammond, LA",-0.6838889360084892
12,12,"Auburn, NY",-0.6866404078443463
206,206,"Somerset, PA",-0.694772143584247
124,124,"Lawton, OK",-0.705445965817179
63,63,"Elmira, NY",-0.7202563458453716
99,99,"Indiana, PA",-0.7364716351918251
89,89,"Greeley, CO",-0.7396063986952263
16,16,"Bay City, MI",-0.7520443000965371
65,65,"Erie, PA",-0.7567717711349302
155,155,"Oklahoma City, OK",-0.7692256162556025
227,227,"Tulsa, OK",-0.7778795852541425
165,165,"Plattsburgh, NY",-0.7810460176968607
7,7,"Anchorage, AK",-0.786026128040127
116,116,"Knoxville, TN",-0.7878193035328633
34,34,"Charleston, WV",-0.79684542189642
62,62,"Elizabethtown, KY",-0.8029189101574832
68,68,"Fayetteville, NC",-0.8102519177318926
233,233,"Warsaw, IN",-0.8140956360644578
106,106,"Jacksonville, NC",-0.82083436687858
21,21,"Binghamton, NY",-0.830524633092711
135,135,"Marquette, MI",-0.8329426205728269
209,209,"Springfield, IL",-0.833658897276203
49,49,"Corning, NY",-0.8366290747662294
14,14,"Baton Rouge, LA",-0.8664889814030681
219,219,"Syracuse, NY",-0.8688998106980683
158,158,"Orangeburg, SC",-0.8700205011041253
183,183,"Rochester, NY",-0.871196284203557
101,101,"Ithaca, NY",-0.8819362823838675
50,50,"Corvallis, OR",-0.8824719854907765
204,204,"Show Low, AZ",-0.8844135317898952
163,163,"Pittsburgh, PA",-0.8850405632657024
30,30,"Cedar Rapids, IA",-0.8890011829230781
59,59,"Eau Claire, WI",-0.8960853610887806
213,213,"State College, PA",-0.9151488016800289
205,205,"Sioux Falls, SD",-0.9190160681119687
100,100,"Iowa City, IA",-0.9326538867951529
127,127,"Lincoln, NE",-0.941544540206506
36,36,"Cheyenne, WY",-0.9449875941083022
22,22,"Bismarck, ND",-0.9456599284811933
9,9,"Appleton, WI",-0.9599034752538859
24,24,"Boulder, CO",-0.9640427426461458
42,42,"Colorado Springs, CO",-0.9693694643123517
