metro_name,cbsa_id,au3,ratio_of_public_transport,enrolled_in_school,avg_fam_sz,median_income,pctg_below_poverty_line,hse_units,sqmi,pop_sqmi,pct_dem,pct_repub,latitude,longitude
"Aberdeen, WA",10140.0,0.3752304378398586,0.0827243653508473,-0.02576781141242365,0.13807748380507243,0.04011585688373185,0.004430089737405866,-0.06928456404882989,0.02877097693099468,-0.4260368031853437,0.5117370656859684,-0.511737065685969,0.8178901280171925,-1.1564473492137457
"Ada, OK",10220.0,-1.5895819544340115,-0.1733618467684077,-0.07605564117293577,0.15181959820634977,0.06518729022794383,0.0,-0.09085467819290728,-0.4651522428534066,-0.35100590957327193,-0.6459937649148375,0.6459937649148371,-0.2950027978422963,-0.16366075064397215
"Adrian, MI",10300.0,0.5838027949302298,-0.14160083291072253,-0.07484693290041572,0.15456802108660517,0.28964954111019614,-0.14323956817612363,-0.05966042071794706,-0.45031908565643736,0.07204061823947236,0.18266552585670168,-0.18266552585670168,0.3790322048641949,0.3085064160577856
"Akron, OH",10420.0,0.2557740709020656,0.06389121932004867,-0.08822741817148622,0.14907117532609424,0.17786984036917353,-0.08522648828152274,0.25293142945067076,-0.3835678277921661,3.4228883989147567,0.6090251427548533,-0.6090251427548538,0.3020232421042321,0.3920272403567943
"Albany, GA",10500.0,0.2590281990056628,0.000478617227331725,-0.05315551957735285,0.18205224988915972,0.6462750541919923,0.5581913069131416,-0.03340135332419867,-0.10279998860684507,-0.19881558636013372,-0.026600348569239755,0.026600348569239245,-0.5870349147565284,0.294727155939022
"Albany-Lebanon, OR",10540.0,0.3601961363295198,-0.10119775554062298,-0.09100902009193029,0.15731644396686056,-0.2556714966148797,0.08353883504822525,-0.05342435680972718,0.1833319007896001,-0.3573915175402568,0.36899670392145306,-0.36899670392145384,0.6045279996342634,-1.1297490950765263
"Albany-Schenectady-Troy, NY",10580.0,0.4204622732220414,0.38582800164037395,-0.06691591916030655,0.14357432956558333,-0.3436298631812078,-0.2961831424437078,0.3466826185763694,0.4177958478236963,0.9835861555265556,0.6157741743753541,-0.6157741743753551,0.4080180081983946,0.6688301711689694
"Albemarle, NC",10620.0,0.30762660239784045,-0.17366381342255302,-0.0832982114625305,0.14632275244583887,-0.23994108206511788,0.0,-0.07864156364738073,-0.5965345644235768,0.16995327373323965,-0.6131001055440858,0.6131001055440852,-0.2428633102356386,0.4396898610124369
"Albuquerque, NM",10740.0,0.3685262399368047,0.12005025612945662,-0.08817176193471353,0.18205224988915972,-0.4187399882830507,0.004430089737405866,0.3247385032070272,3.049506326443632,-0.1184633527755747,0.5808333584459198,-0.5808333584459203,-0.2394656828418386,-0.5200736431207624
"Alexandria, LA",10780.0,-0.07378530433768725,-0.020107106358324675,-0.06972292936275555,0.17105855836813788,-0.01853462915279725,0.1257301658806623,-0.03513198011191474,0.0684108158765034,-0.22169734824182927,-0.27094760914912447,0.27094760914912375,-0.6457873806113117,-0.026823553449497703
"Alexandria, MN",10820.0,0.6746576144257926,-0.14106907799004517,0.04066516668493312,0.10509640924200697,-0.030098046470834073,0.0,-0.0870101314363031,-0.4673011437025114,-0.3600521875265005,0.07559438700387211,-0.07559438700387287,0.7187182730909323,-0.11591836052432815
"Allentown-Bethlehem-Easton, PA-NJ",10900.0,0.5689773337297297,0.12765741145329004,-0.0600411640006879,0.1683101354878824,0.1254004002263698,-0.2856353097355986,0.2873337347025919,-0.1575149411426383,2.3352065085383424,0.12637278626885085,-0.12637278626885137,0.2608087549178993,0.6354225000963154
"Alma, MI",10940.0,0.5216085625131155,-0.18066866921088212,-0.08779184762283034,0.14082590668532793,-0.17125507769551782,0.0,-0.0911520207819377,-0.5281634290108392,-0.23074362619505784,0.10441689171320394,-0.1044168917132047,0.47818352287439003,0.28968777493799797
"Altoona, PA",11020.0,1.36272481139894,-0.12089891700804421,-0.08993703257496055,0.12983221516430613,-0.28761847539143787,-0.25399181161127077,-0.04476541539870479,-0.5464249852724108,0.6568558812158323,-0.43472901942488873,0.4347290194248885,0.21654668066269686,0.495809874427061
"Altus, OK",11060.0,0.1210505895452977,-0.18286309386220703,-0.04557417219435911,0.16556171260762695,0.34173700650675837,0.0,-0.09610231029149872,-0.4327546918840792,-0.4526435030477804,0.044034026018323257,-0.04403402601832403,-0.30791549791216916,-0.25990590219607723
"Amarillo, TX",11100.0,0.1485308400702119,-0.07417126249815172,-0.08638108301246157,-0.6699588429900306,-0.26348461642436405,-0.0430351574490857,-0.11012967922790617,1.3633122214297904,-0.6261191861508679,-0.7732147116787186,0.7732147116787184,-0.2574629582286857,-0.3612804498324385
"Ames, IA",11180.0,-0.08623222310893999,0.8426896918578484,-0.07548093003234817,0.12708379228405062,-0.20257700688731725,0.14155191494282623,-0.06739945849415661,-0.2920919072957333,0.20454198355440745,0.597922558274067,-0.5979225582740676,0.3666589411229639,-0.05103395168881075
"Amsterdam, NY",11220.0,0.23121529242323555,-0.02698264012125061,-0.08467267852717796,0.15181959820634977,0.7198920052858004,0.0,-0.08334213184193574,-0.5943118463697319,0.02521282648158377,0.5718780476475191,-0.5718780476475196,0.4498392927980624,0.6599633561472767
"Andrews, TX",11380.0,-0.5229131893178027,-0.05230798887018737,-0.07528613320364372,0.22327859309299147,-0.17170650239562135,0.0,-0.10337675027234827,-0.1469795856438786,-0.5734379204232432,-1.1384913966032761,1.1384913966032755,-0.5172005464426835,-0.37882094995334564
